STARTTIME,STOPTIME,STARTTIME_GMT,STOPTIME_GMT,STARTDATE,MARKET_RUN_ID,RESOURCE_TYPE,SCHEDULINGCOORDINATOR_SEQ,RESOURCEBID_SEQ,TIMEINTERVALSTART,TIMEINTERVALEND,TIMEINTERVALSTART_GMT,TIMEINTERVALEND_GMT,PRODUCTBID_DESC,PRODUCTBID_MRID,MARKETPRODUCT_DESC,MARKETPRODUCTTYPE,SELFSCHEDMW,SCH_BID_TIMEINTERVALSTART,SCH_BID_TIMEINTERVALSTOP,SCH_BID_TIMEINTERVALSTART_GMT,SCH_BID_TIMEINTERVALSTOP_GMT,SCH_BID_XAXISDATA,SCH_BID_Y1AXISDATA,SCH_BID_Y2AXISDATA,SCH_BID_CURVETYPE,MINEOHSTATEOFCHARGE,MAXEOHSTATEOFCHARGE
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,108158,560781,2025-07-01T17:00:00,2025-07-01T18:00:00,2025-07-02T00:00:00-00:00,2025-07-02T01:00:00-00:00,,,,EN,79.93,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,108158,560781,2025-07-01T18:00:00,2025-07-01T19:00:00,2025-07-02T01:00:00-00:00,2025-07-02T02:00:00-00:00,,,,EN,73.57,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,108158,560781,2025-07-01T19:00:00,2025-07-01T20:00:00,2025-07-02T02:00:00-00:00,2025-07-02T03:00:00-00:00,,,,EN,68.82,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,108158,560781,2025-07-01T20:00:00,2025-07-01T21:00:00,2025-07-02T03:00:00-00:00,2025-07-02T04:00:00-00:00,,,,EN,65.88,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,108158,560781,2025-07-01T21:00:00,2025-07-01T22:00:00,2025-07-02T04:00:00-00:00,2025-07-02T05:00:00-00:00,,,,EN,63.38,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,108158,560781,2025-07-01T22:00:00,2025-07-01T23:00:00,2025-07-02T05:00:00-00:00,2025-07-02T06:00:00-00:00,,,,EN,57.82,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,108158,560781,2025-07-01T23:00:00,2025-07-02T00:00:00,2025-07-02T06:00:00-00:00,2025-07-02T07:00:00-00:00,,,,EN,55.01,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,108158,524179,2025-07-01T00:00:00,2025-07-01T01:00:00,2025-07-01T07:00:00-00:00,2025-07-01T08:00:00-00:00,,,,EN,15.93,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,108158,524179,2025-07-01T01:00:00,2025-07-01T02:00:00,2025-07-01T08:00:00-00:00,2025-07-01T09:00:00-00:00,,,,EN,15.6,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,108158,524179,2025-07-01T02:00:00,2025-07-01T04:00:00,2025-07-01T09:00:00-00:00,2025-07-01T11:00:00-00:00,,,,EN,15.27,,,,,,,,,,
