RESOURCE ID,RESOURCE NAME,RESOURCE PMAX MW,RESOURCEBID_SEQ,seq_max_mw,n_matches,mean_pct_err,score,confidence
ADLIN_1_UNITS,GEYSERS AIDLIN AGGREGATE,22,316580,20,3,0.008148148148148172,2.9755555555555557,1.5431115767417498
AKINGS_6_AMESR1,American Kings Solar,123,828735,126.81,2,0.011103448275862066,1.9777931034482759,Inf
ALHMBR_1_ALHSLR,SG Alhambra,50,158082,49,3,0,3,1
ALMASL_2_AL6BT6,Almasol 6 BES,50,163688,45,4,0.022727272727272728,3.909090909090909,1.0052600818234951
ARBWD_6_QF,Wind Resource II,19.95,122815,20,2,0.030172413793103404,1.9396551724137931,0.9960649286768325
ARCOGN_2_UNITS,WATSON COGENERATION,305,219791,290,3,0.012737127371273712,2.961788617886179,1.4880313481871723
ARLVAL_5_SOLAR,Arlington Valley Solar Energy II,127,105465,126.35,4,0.0275,3.89,1.9961001642036127
AVSOLR_2_SOLAR,AV SOLAR RANCH 1,241.5,492855,240,13,0.011404293381037565,12.851744186046512,1.442939102011755
BERCYN_2_BCEBT1,Bear Canyon Energy Storage,13,153772,14,4,0.04376893939393942,3.8249242424242422,1.2749747474747475
BIGCRK_2_EXESWD,BIG CREEK HYDRO PROJECT PSP,820,166600,799.47,434,0.02333768842618298,423.8714432230366,2.390462563345402
BISHOP_1_ALAMO,BISHOP CREEK PLANT 2  AND  6,13.4,220818,12.61,4,0.027461456671982968,3.890154173312068,0.4472828969874298
BISHOP_1_UNITS,BISHOP CREEK PLANT 3  AND  4,15.8,301986,16.44,8,0.01864168347614191,7.850866532190865,1.0087916808783295
BLAST_1_WIND,Mountain View IV Wind,49,106763,52.73,5,0.02114510078604835,4.894274496069758,2.529707487596166
BLVRDE_6_BLVBT1,Boulevard Energy Storage,10,284463,10,8,0.02334043829733484,7.813276493621322,1.1472742140667407
BUCKCK_7_PL1X2,BUCKS CREEK AGGREGATE,57.25,497303,57.25,77,1.6922471467926002e-4,76.9869696969697,5.647479633420353
CALFTN_2_SOLAR,California Flats North,130,476474,119,4,0.021739130434782608,3.9130434782608696,0.9995835068721366
CALFTS_2_CFSSR1,California Flats Solar South,150,576455,150,7,0.023328964613368242,6.8366972477064225,1.4165030342113758
CARBOU_7_PL2X3,CARIBOU PH 1 UNIT 2 & 3 AGGREGATE,49,890505,50,3,0.02032777777777778,2.9390166666666664,1.0070873786407768
CARBOU_7_PL4X5,CARIBOU PH 2 UNIT 4 & 5 AGGREGATE,120,108072,120,14,0.009466584633297609,13.867467815133834,2.0160338371818427
CARBOU_7_UNIT 1,CARIBOU PH 1 UNIT 1,24,160554,22,2,0.05,1.9,Inf
CARLS1_2_CARCT1,Carlsbad 1,422,160605,407,4,0.0012300123001230013,3.995079950799508,1
CENTPD_2_BMSSX2,Blythe Mesa Solar,223.6,238485,210,3,0.03367003367003367,2.8989898989898992,1.4894184134775126
CHEVMN_2_UNITS,CHEVRON U.S.A. UNITS 1 & 2 AGGREGATE,124.87,736344,114.8,3,0.028703703703703703,2.9138888888888888,1.4781309886145868
CLINESCO_3_PVDYN,CLINES CORNERS,129.94,914978,139.97,2,0.018388806668166377,1.9632223866636673,Inf
CLRMNT_6_CLEBT1,Clairemont Energy Storage,9,143302,9.5,6,0.04444444444444448,5.7333333333333325,1
CNTNLA_2_SOLAR1,Centinela Solar Energy I,125,124574,128.39,2,0.025658817862405037,1.9486823642751898,Inf
COLUSA_2_PL1X3,Colusa Generating Station,641,101489,635,2,0,2,Inf
COLVIL_7_PL1X2,COLLIERVILLE HYDRO UNIT 1 & 2 AGGREGATE,246.86,201370,243.54,4,0.02924379250293538,3.8830248299882584,Inf
CONTRL_1_LUNDY,LUNDY,3,163107,2.7,3,9.251858538542973e-17,2.9999999999999996,1.4999999999999998
CONTRL_1_POOLE,POOLE HYDRO PLANT 1,11.07,814548,10,4,0.008441416569011057,3.9662343337239556,1.0343688002776439
CONTRL_1_RUSHCK,RUSH CREEK,11.94,151598,12,2,0.021666666666666876,1.9566666666666663,1.0111972437553833
COVERD_2_MCKHY1,Montgomery Creek Hydro,2.8,133011,3,2,0.04761904761904788,1.9047619047619042,Inf
CRESTA_7_PL1X2,CRESTA PH UNIT 1 & 2 AGGREGATE,70.4,179949,70,8,0.02698863636363644,7.784090909090908,1.321396268760344
CRIMSN_2_CRMBT2,Crimson 2,150,589872,141.78,3,0.023599999999999993,2.9292000000000002,1.0053887077398318
DEADCK_1_UNIT,DEADCK_1_UNIT,1.96,148199,1.89,4,0.02739726027397263,3.8904109589041096,1
DELAMO_2_ALASB2,Los Alamitos 2,10,643213,9.5,2,0,2,1
DIABLO_7_UNIT 1,Diablo Canyon Unit 1,1150,126417,1150,10,0.00679485116653259,9.932051488334675,1.2547310313119304
DIABLO_7_UNIT 2,Diablo Canyon Unit 2,1150,195335,1150,2,0.0025303643724696357,1.9949392712550607,Inf
DRACKR_2_DSUBT1,Dracker Solar Unit 1 BESS,63,140316,60,40,0.020683430275137193,39.172662788994515,1.0250049021765961
