"State","Facility Name","Facility ID","Unit ID","Associated Stacks","Year","Program Code","Primary Rep Info","EPA Region","NERC Region","County","County Code","FIPS Code","Source Category","Latitude","Longitude","Owner/Operator","SO2 Phase","NOx Phase","Unit Type","Primary Fuel Type","Secondary Fuel Type","SO2 Controls","NOx Controls","PM Controls","Hg Controls","Commercial Operation Date","Operating Status","Max Hourly HI Rate (mmBtu/hr)","Associated Generators & Nameplate Capacity (MWe)"
"CA","Moss Landing Power Plant",260,"1A",,2022,"ARP","603383",9,"WECC","Monterey County","CA053","053","Electric Utility",36.8042,-121.7775,"Moss Landing Power Company LLC (Owner)|Moss Landing Power Company LLC (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"2002-04-09","Operating",2057,"ST1 (233), CT1A (275)"
"CA","Moss Landing Power Plant",260,"1A",,2023,"ARP","603383",9,"WECC","Monterey County","CA053","053","Electric Utility",36.8042,-121.7775,"Moss Landing Power Company LLC (Owner)|Moss Landing Power Company LLC (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"2002-04-09","Operating",2057,"ST1 (233), CT1A (275)"
"CA","Moss Landing Power Plant",260,"1A",,2024,"ARP","603383",9,"WECC","Monterey County","CA053","053","Electric Utility",36.8042,-121.7775,"Moss Landing Power Company LLC (Owner)|Moss Landing Power Company LLC (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"2002-04-09","Operating",2057,"ST1 (233), CT1A (275)"
"CA","Moss Landing Power Plant",260,"1A",,2025,"ARP","603383",9,"WECC","Monterey County","CA053","053","Electric Utility",36.8042,-121.7775,"Moss Landing Power Company LLC (Owner)|Moss Landing Power Company LLC (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"2002-04-09","Operating",2057,"ST1 (233), CT1A (275)"
"CA","Moss Landing Power Plant",260,"2A",,2022,"ARP","603383",9,"WECC","Monterey County","CA053","053","Electric Utility",36.8042,-121.7775,"Moss Landing Power Company LLC (Owner)|Moss Landing Power Company LLC (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"2002-04-09","Operating",2057,"CT1B (275), ST1 (233)"
"CA","Moss Landing Power Plant",260,"2A",,2023,"ARP","603383",9,"WECC","Monterey County","CA053","053","Electric Utility",36.8042,-121.7775,"Moss Landing Power Company LLC (Owner)|Moss Landing Power Company LLC (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"2002-04-09","Operating",2057,"CT1B (275), ST1 (233)"
"CA","Moss Landing Power Plant",260,"2A",,2024,"ARP","603383",9,"WECC","Monterey County","CA053","053","Electric Utility",36.8042,-121.7775,"Moss Landing Power Company LLC (Owner)|Moss Landing Power Company LLC (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"2002-04-09","Operating",2057,"CT1B (275), ST1 (233)"
"CA","Moss Landing Power Plant",260,"2A",,2025,"ARP","603383",9,"WECC","Monterey County","CA053","053","Electric Utility",36.8042,-121.7775,"Moss Landing Power Company LLC (Owner)|Moss Landing Power Company LLC (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"2002-04-09","Operating",2057,"CT1B (275), ST1 (233)"
"CA","Moss Landing Power Plant",260,"3A",,2022,"ARP","603383",9,"WECC","Monterey County","CA053","053","Electric Utility",36.8042,-121.7775,"Moss Landing Power Company LLC (Owner)|Moss Landing Power Company LLC (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"2002-05-24","Operating",2057,"ST2 (233), CT2A (275)"
"CA","Moss Landing Power Plant",260,"3A",,2023,"ARP","603383",9,"WECC","Monterey County","CA053","053","Electric Utility",36.8042,-121.7775,"Moss Landing Power Company LLC (Owner)|Moss Landing Power Company LLC (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"2002-05-24","Operating",2057,"ST2 (233), CT2A (275)"
"CA","Moss Landing Power Plant",260,"3A",,2024,"ARP","603383",9,"WECC","Monterey County","CA053","053","Electric Utility",36.8042,-121.7775,"Moss Landing Power Company LLC (Owner)|Moss Landing Power Company LLC (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"2002-05-24","Operating",2057,"ST2 (233), CT2A (275)"
"CA","Moss Landing Power Plant",260,"3A",,2025,"ARP","603383",9,"WECC","Monterey County","CA053","053","Electric Utility",36.8042,-121.7775,"Moss Landing Power Company LLC (Owner)|Moss Landing Power Company LLC (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"2002-05-24","Operating",2057,"ST2 (233), CT2A (275)"
"CA","Moss Landing Power Plant",260,"4A",,2022,"ARP","603383",9,"WECC","Monterey County","CA053","053","Electric Utility",36.8042,-121.7775,"Moss Landing Power Company LLC (Owner)|Moss Landing Power Company LLC (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"2002-05-26","Operating",2057,"ST2 (233), CT2B (275)"
"CA","Moss Landing Power Plant",260,"4A",,2023,"ARP","603383",9,"WECC","Monterey County","CA053","053","Electric Utility",36.8042,-121.7775,"Moss Landing Power Company LLC (Owner)|Moss Landing Power Company LLC (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"2002-05-26","Operating",2057,"ST2 (233), CT2B (275)"
"CA","Moss Landing Power Plant",260,"4A",,2024,"ARP","603383",9,"WECC","Monterey County","CA053","053","Electric Utility",36.8042,-121.7775,"Moss Landing Power Company LLC (Owner)|Moss Landing Power Company LLC (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"2002-05-26","Operating",2057,"ST2 (233), CT2B (275)"
"CA","Moss Landing Power Plant",260,"4A",,2025,"ARP","603383",9,"WECC","Monterey County","CA053","053","Electric Utility",36.8042,-121.7775,"Moss Landing Power Company LLC (Owner)|Moss Landing Power Company LLC (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"2002-05-26","Operating",2057,"ST2 (233), CT2B (275)"
"CA","Cabrillo Power I Encina Power Station",302,"10",,2022,"ARP","609365",9,"WECC","San Diego County","CA073","073","Electric Utility",33.1408,-117.3342,"Carlsbad Energy Center LLC (Owner)|Carlsbad Energy Center LLC (Operator)","Phase 2",,"Combustion turbine","Pipeline Natural Gas",,,"Water Injection|Selective Catalytic Reduction",,,"2018-05-04","Operating",1010,"CEC10 (105.3)"
"CA","Cabrillo Power I Encina Power Station",302,"10",,2023,"ARP","609365",9,"WECC","San Diego County","CA073","073","Electric Utility",33.1408,-117.3342,"Carlsbad Energy Center LLC (Owner)|Carlsbad Energy Center LLC (Operator)","Phase 2",,"Combustion turbine","Pipeline Natural Gas",,,"Water Injection|Selective Catalytic Reduction",,,"2018-05-04","Operating",1010,"CEC10 (105.3)"
"CA","Cabrillo Power I Encina Power Station",302,"10",,2024,"ARP","609365",9,"WECC","San Diego County","CA073","073","Electric Utility",33.1408,-117.3342,"Carlsbad Energy Center LLC (Owner)|Carlsbad Energy Center LLC (Operator)","Phase 2",,"Combustion turbine","Pipeline Natural Gas",,,"Water Injection|Selective Catalytic Reduction",,,"2018-05-04","Operating",1010,"CEC10 (105.3)"
"CA","Cabrillo Power I Encina Power Station",302,"10",,2025,"ARP","609365",9,"WECC","San Diego County","CA073","073","Electric Utility",33.1408,-117.3342,"Carlsbad Energy Center LLC (Owner)|Carlsbad Energy Center LLC (Operator)","Phase 2",,"Combustion turbine","Pipeline Natural Gas",,,"Water Injection|Selective Catalytic Reduction",,,"2018-05-04","Operating",1010,"CEC10 (105.3)"
"CA","Cabrillo Power I Encina Power Station",302,"6",,2022,"ARP","609365",9,"WECC","San Diego County","CA073","073","Electric Utility",33.1408,-117.3342,"Carlsbad Energy Center LLC (Owner)|Carlsbad Energy Center LLC (Operator)","Phase 2",,"Combustion turbine","Pipeline Natural Gas",,,"Water Injection|Selective Catalytic Reduction",,,"2018-08-24","Operating",1010,"CEC6 (105.3)"
"CA","Cabrillo Power I Encina Power Station",302,"6",,2023,"ARP","609365",9,"WECC","San Diego County","CA073","073","Electric Utility",33.1408,-117.3342,"Carlsbad Energy Center LLC (Owner)|Carlsbad Energy Center LLC (Operator)","Phase 2",,"Combustion turbine","Pipeline Natural Gas",,,"Water Injection|Selective Catalytic Reduction",,,"2018-08-24","Operating",1010,"CEC6 (105.3)"
"CA","Cabrillo Power I Encina Power Station",302,"6",,2024,"ARP","609365",9,"WECC","San Diego County","CA073","073","Electric Utility",33.1408,-117.3342,"Carlsbad Energy Center LLC (Owner)|Carlsbad Energy Center LLC (Operator)","Phase 2",,"Combustion turbine","Pipeline Natural Gas",,,"Water Injection|Selective Catalytic Reduction",,,"2018-08-24","Operating",1010,"CEC6 (105.3)"
"CA","Cabrillo Power I Encina Power Station",302,"6",,2025,"ARP","609365",9,"WECC","San Diego County","CA073","073","Electric Utility",33.1408,-117.3342,"Carlsbad Energy Center LLC (Owner)|Carlsbad Energy Center LLC (Operator)","Phase 2",,"Combustion turbine","Pipeline Natural Gas",,,"Water Injection|Selective Catalytic Reduction",,,"2018-08-24","Operating",1010,"CEC6 (105.3)"
"CA","Cabrillo Power I Encina Power Station",302,"7",,2022,"ARP","609365",9,"WECC","San Diego County","CA073","073","Electric Utility",33.1408,-117.3342,"Carlsbad Energy Center LLC (Owner)|Carlsbad Energy Center LLC (Operator)","Phase 2",,"Combustion turbine","Pipeline Natural Gas",,,"Water Injection|Selective Catalytic Reduction",,,"2018-08-15","Operating",1010,"CEC7 (105.3)"
"CA","Cabrillo Power I Encina Power Station",302,"7",,2023,"ARP","609365",9,"WECC","San Diego County","CA073","073","Electric Utility",33.1408,-117.3342,"Carlsbad Energy Center LLC (Owner)|Carlsbad Energy Center LLC (Operator)","Phase 2",,"Combustion turbine","Pipeline Natural Gas",,,"Water Injection|Selective Catalytic Reduction",,,"2018-08-15","Operating",1010,"CEC7 (105.3)"
"CA","Cabrillo Power I Encina Power Station",302,"7",,2024,"ARP","609365",9,"WECC","San Diego County","CA073","073","Electric Utility",33.1408,-117.3342,"Carlsbad Energy Center LLC (Owner)|Carlsbad Energy Center LLC (Operator)","Phase 2",,"Combustion turbine","Pipeline Natural Gas",,,"Water Injection|Selective Catalytic Reduction",,,"2018-08-15","Operating",1010,"CEC7 (105.3)"
"CA","Cabrillo Power I Encina Power Station",302,"7",,2025,"ARP","609365",9,"WECC","San Diego County","CA073","073","Electric Utility",33.1408,-117.3342,"Carlsbad Energy Center LLC (Owner)|Carlsbad Energy Center LLC (Operator)","Phase 2",,"Combustion turbine","Pipeline Natural Gas",,,"Water Injection|Selective Catalytic Reduction",,,"2018-08-15","Operating",1010,"CEC7 (105.3)"
"CA","Cabrillo Power I Encina Power Station",302,"8",,2022,"ARP","609365",9,"WECC","San Diego County","CA073","073","Electric Utility",33.1408,-117.3342,"Carlsbad Energy Center LLC (Owner)|Carlsbad Energy Center LLC (Operator)","Phase 2",,"Combustion turbine","Pipeline Natural Gas",,,"Water Injection|Selective Catalytic Reduction",,,"2018-07-07","Operating",1010,"CEC8 (105.3)"
"CA","Cabrillo Power I Encina Power Station",302,"8",,2023,"ARP","609365",9,"WECC","San Diego County","CA073","073","Electric Utility",33.1408,-117.3342,"Carlsbad Energy Center LLC (Owner)|Carlsbad Energy Center LLC (Operator)","Phase 2",,"Combustion turbine","Pipeline Natural Gas",,,"Water Injection|Selective Catalytic Reduction",,,"2018-07-07","Operating",1010,"CEC8 (105.3)"
"CA","Cabrillo Power I Encina Power Station",302,"8",,2024,"ARP","609365",9,"WECC","San Diego County","CA073","073","Electric Utility",33.1408,-117.3342,"Carlsbad Energy Center LLC (Owner)|Carlsbad Energy Center LLC (Operator)","Phase 2",,"Combustion turbine","Pipeline Natural Gas",,,"Water Injection|Selective Catalytic Reduction",,,"2018-07-07","Operating",1010,"CEC8 (105.3)"
"CA","Cabrillo Power I Encina Power Station",302,"8",,2025,"ARP","609365",9,"WECC","San Diego County","CA073","073","Electric Utility",33.1408,-117.3342,"Carlsbad Energy Center LLC (Owner)|Carlsbad Energy Center LLC (Operator)","Phase 2",,"Combustion turbine","Pipeline Natural Gas",,,"Water Injection|Selective Catalytic Reduction",,,"2018-07-07","Operating",1010,"CEC8 (105.3)"
"CA","Cabrillo Power I Encina Power Station",302,"9",,2022,"ARP","609365",9,"WECC","San Diego County","CA073","073","Electric Utility",33.1408,-117.3342,"Carlsbad Energy Center LLC (Owner)|Carlsbad Energy Center LLC (Operator)","Phase 2",,"Combustion turbine","Pipeline Natural Gas",,,"Water Injection|Selective Catalytic Reduction",,,"2018-06-06","Operating",1010,"CEC9 (105.3)"
"CA","Cabrillo Power I Encina Power Station",302,"9",,2023,"ARP","609365",9,"WECC","San Diego County","CA073","073","Electric Utility",33.1408,-117.3342,"Carlsbad Energy Center LLC (Owner)|Carlsbad Energy Center LLC (Operator)","Phase 2",,"Combustion turbine","Pipeline Natural Gas",,,"Water Injection|Selective Catalytic Reduction",,,"2018-06-06","Operating",1010,"CEC9 (105.3)"
"CA","Cabrillo Power I Encina Power Station",302,"9",,2024,"ARP","609365",9,"WECC","San Diego County","CA073","073","Electric Utility",33.1408,-117.3342,"Carlsbad Energy Center LLC (Owner)|Carlsbad Energy Center LLC (Operator)","Phase 2",,"Combustion turbine","Pipeline Natural Gas",,,"Water Injection|Selective Catalytic Reduction",,,"2018-06-06","Operating",1010,"CEC9 (105.3)"
"CA","Cabrillo Power I Encina Power Station",302,"9",,2025,"ARP","609365",9,"WECC","San Diego County","CA073","073","Electric Utility",33.1408,-117.3342,"Carlsbad Energy Center LLC (Owner)|Carlsbad Energy Center LLC (Operator)","Phase 2",,"Combustion turbine","Pipeline Natural Gas",,,"Water Injection|Selective Catalytic Reduction",,,"2018-06-06","Operating",1010,"CEC9 (105.3)"
"CA","AES Alamitos",315,"3",,2022,"ARP","607401",9,"WECC","Los Angeles County","CA037","037","Electric Utility",33.7688,-118.1009,"AES Corporation (Owner)|AES Corporation (Operator)","Phase 2",,"Tangentially-fired","Pipeline Natural Gas","Residual Oil",,,,,"1961-10-01","Operating",3439,"3 (333)"
"CA","AES Alamitos",315,"3",,2023,"ARP","607401",9,"WECC","Los Angeles County","CA037","037","Electric Utility",33.7688,-118.1009,"AES Corporation (Owner)|AES Corporation (Operator)","Phase 2",,"Tangentially-fired","Pipeline Natural Gas","Residual Oil",,,,,"1961-10-01","Operating",3439,"3 (333)"
"CA","AES Alamitos",315,"3",,2024,"ARP","607401 (Ended May 20, 2024), 608105 (Started May 20, 2024)",9,"WECC","Los Angeles County","CA037","037","Electric Utility",33.7688,-118.1009,"AES Corporation (Owner)|AES Corporation (Operator)","Phase 2",,"Tangentially-fired","Pipeline Natural Gas","Residual Oil",,,,,"1961-10-01","Operating",3439,"3 (333)"
"CA","AES Alamitos",315,"3",,2025,"ARP","608105",9,"WECC","Los Angeles County","CA037","037","Electric Utility",33.7688,-118.1009,"AES Corporation (Owner)|AES Corporation (Operator)","Phase 2",,"Tangentially-fired","Pipeline Natural Gas","Residual Oil",,,,,"1961-10-01","Operating",3439,"3 (333)"
"CA","AES Alamitos",315,"4",,2022,"ARP","607401",9,"WECC","Los Angeles County","CA037","037","Electric Utility",33.7688,-118.1009,"AES Corporation (Owner)|AES Corporation (Operator)","Phase 2",,"Tangentially-fired","Pipeline Natural Gas","Residual Oil",,,,,"1962-04-01","Operating",3439,"4 (333)"
"CA","AES Alamitos",315,"4",,2023,"ARP","607401",9,"WECC","Los Angeles County","CA037","037","Electric Utility",33.7688,-118.1009,"AES Corporation (Owner)|AES Corporation (Operator)","Phase 2",,"Tangentially-fired","Pipeline Natural Gas","Residual Oil",,,,,"1962-04-01","Operating",3439,"4 (333)"
"CA","AES Alamitos",315,"4",,2024,"ARP","607401 (Ended May 20, 2024), 608105 (Started May 20, 2024)",9,"WECC","Los Angeles County","CA037","037","Electric Utility",33.7688,-118.1009,"AES Corporation (Owner)|AES Corporation (Operator)","Phase 2",,"Tangentially-fired","Pipeline Natural Gas","Residual Oil",,,,,"1962-04-01","Operating",3439,"4 (333)"
"CA","AES Alamitos",315,"4",,2025,"ARP","608105",9,"WECC","Los Angeles County","CA037","037","Electric Utility",33.7688,-118.1009,"AES Corporation (Owner)|AES Corporation (Operator)","Phase 2",,"Tangentially-fired","Pipeline Natural Gas","Residual Oil",,,,,"1962-04-01","Operating",3439,"4 (333)"
"CA","AES Alamitos",315,"5",,2022,"ARP","607401",9,"WECC","Los Angeles County","CA037","037","Electric Utility",33.7688,-118.1009,"AES Corporation (Owner)|AES Corporation (Operator)","Phase 2",,"Dry bottom wall-fired boiler","Pipeline Natural Gas","Residual Oil",,,,,"1965-12-01","Operating",5070,"5 (495)"
"CA","AES Alamitos",315,"5",,2023,"ARP","607401",9,"WECC","Los Angeles County","CA037","037","Electric Utility",33.7688,-118.1009,"AES Corporation (Owner)|AES Corporation (Operator)","Phase 2",,"Dry bottom wall-fired boiler","Pipeline Natural Gas","Residual Oil",,,,,"1965-12-01","Operating",5070,"5 (495)"
"CA","AES Alamitos",315,"5",,2024,"ARP","607401 (Ended May 20, 2024), 608105 (Started May 20, 2024)",9,"WECC","Los Angeles County","CA037","037","Electric Utility",33.7688,-118.1009,"AES Corporation (Owner)|AES Corporation (Operator)","Phase 2",,"Dry bottom wall-fired boiler","Pipeline Natural Gas","Residual Oil",,,,,"1965-12-01","Operating",5070,"5 (495)"
"CA","AES Alamitos",315,"5",,2025,"ARP","608105",9,"WECC","Los Angeles County","CA037","037","Electric Utility",33.7688,-118.1009,"AES Corporation (Owner)|AES Corporation (Operator)","Phase 2",,"Dry bottom wall-fired boiler","Pipeline Natural Gas","Residual Oil",,,,,"1965-12-01","Operating",5070,"5 (495)"
"CA","AES Alamitos",315,"CT1",,2022,"ARP","607401",9,"WECC","Los Angeles County","CA037","037","Electric Utility",33.7688,-118.1009,"AES Corporation (Owner)|AES Corporation (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"2019-10-03","Operating",2350,"1A (231.4), 1S (241.1)"
"CA","AES Alamitos",315,"CT1",,2023,"ARP","607401",9,"WECC","Los Angeles County","CA037","037","Electric Utility",33.7688,-118.1009,"AES Corporation (Owner)|AES Corporation (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"2019-10-03","Operating",2350,"1A (231.4), 1S (241.1)"
"CA","AES Alamitos",315,"CT1",,2024,"ARP","607401 (Ended May 20, 2024), 608105 (Started May 20, 2024)",9,"WECC","Los Angeles County","CA037","037","Electric Utility",33.7688,-118.1009,"AES Corporation (Owner)|AES Corporation (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"2019-10-03","Operating",2350,"1A (231.4), 1S (241.1)"
"CA","AES Alamitos",315,"CT1",,2025,"ARP","608105",9,"WECC","Los Angeles County","CA037","037","Electric Utility",33.7688,-118.1009,"AES Corporation (Owner)|AES Corporation (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"2019-10-03","Operating",2350,"1A (231.4), 1S (241.1)"
"CA","AES Alamitos",315,"CT2",,2022,"ARP","607401",9,"WECC","Los Angeles County","CA037","037","Electric Utility",33.7688,-118.1009,"AES Corporation (Owner)|AES Corporation (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"2019-10-11","Operating",2350,"1S (241.1), 1B (231.4)"
"CA","AES Alamitos",315,"CT2",,2023,"ARP","607401",9,"WECC","Los Angeles County","CA037","037","Electric Utility",33.7688,-118.1009,"AES Corporation (Owner)|AES Corporation (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"2019-10-11","Operating",2350,"1S (241.1), 1B (231.4)"
"CA","AES Alamitos",315,"CT2",,2024,"ARP","607401 (Ended May 20, 2024), 608105 (Started May 20, 2024)",9,"WECC","Los Angeles County","CA037","037","Electric Utility",33.7688,-118.1009,"AES Corporation (Owner)|AES Corporation (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"2019-10-11","Operating",2350,"1S (241.1), 1B (231.4)"
"CA","AES Alamitos",315,"CT2",,2025,"ARP","608105",9,"WECC","Los Angeles County","CA037","037","Electric Utility",33.7688,-118.1009,"AES Corporation (Owner)|AES Corporation (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"2019-10-11","Operating",2350,"1S (241.1), 1B (231.4)"
"CA","El Segundo",330,"5",,2022,"ARP","604895",9,"WECC","Los Angeles County","CA037","037","Electric Utility",33.9106,-118.425,"El Segundo Power, LLC (Owner)|NRG El Segundo Operations Inc. (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"2013-05-03","Operating",2600,"6 (70), 5 (198)"
"CA","El Segundo",330,"5",,2023,"ARP","604895 (Ended Jan 15, 2023), 609365 (Started Jan 15, 2023)",9,"WECC","Los Angeles County","CA037","037","Electric Utility",33.9106,-118.425,"El Segundo Power, LLC (Owner)|NRG El Segundo Operations Inc. (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"2013-05-03","Operating",2600,"6 (70), 5 (198)"
