"RESOURCE ID","RESOURCE NAME","total_curtailment_events","RESOURCEBID_SEQ","n_matches","confidence","score"
"ADERA_1_SOLAR1","Adera Solar",1,NA,NA,NA,NA
"ADLIN_1_UNITS","GEYSERS AIDLIN AGGREGATE",5,316580,3,0.35195872089076,2.97555555555556
"ADMEST_6_SOLAR","Adams East",1,NA,NA,NA,NA
"AGUCAL_5_SOLAR1","Agua Caliente Solar",1,NA,NA,NA,NA
"AKINGS_6_AMESR1","American Kings Solar",5,828735,2,1,1.97779310344828
"ALAMIT_7_ES1","Alamitos Energy Storage",7,NA,NA,NA,NA
"ALHMBR_1_ALHSLR","SG Alhambra",3,158082,3,0,3
"ALMASL_2_AL6BT6","Almasol 6 BES",4,163688,4,0.00523255813953494,3.90909090909091
"ALTA3A_2_CPCE4","Alta Wind 4",1,NA,NA,NA,NA
"ALTA3A_2_CPCE5","Alta Wind 5",2,NA,NA,NA,NA
"ALTA3A_2_CPCE8","Alta Wind 8",17,NA,NA,NA,NA
"ALTA4A_2_CPCW1","Alta Wind 1",2,NA,NA,NA,NA
"ALTA4B_2_CPCW2","Alta Wind 2",1,NA,NA,NA,NA
"ALTA4B_2_CPCW6","Mustang Hills",1,NA,NA,NA,NA
"ALTA6E_2_WIND10","Alta Wind 10",1,NA,NA,NA,NA
"AQUAWS_2_AQWSR1","Aquamarine Westside",1,NA,NA,NA,NA
"ARBWD_6_QF","Wind Resource II",4,107701,2,0.00350921281564531,1.95417562581296
"ARCOGN_2_UNITS","WATSON COGENERATION",16,219791,3,0.327971147100985,2.96178861788618
"ARKANS_1_ARKSLR","SG Arkansas",1,NA,NA,NA,NA
"ARLNTN_2_ASUSR1","Arlington Solar Unit 1",1,NA,NA,NA,NA
"ARLVAL_5_SOLAR","Arlington Valley Solar Energy II",6,105465,4,0.499023136246787,3.89
"ASTORA_2_SOLAR1","Astoria 1",3,NA,NA,NA,NA
"ASTORA_2_SOLAR2","Astoria 2",2,NA,NA,NA,NA
"ATHOS_5_AP1X2","Athos Power Plant",2,NA,NA,NA,NA
"ATHOS_5_AP2X2","Athos Power Plant 2",1,NA,NA,NA,NA
"AVSOLR_2_SOLAR","AV SOLAR RANCH 1",54,492855,13,0.306970059508545,12.8517441860465
"BALCHS_7_UNIT 1","BALCH 1 PH UNIT 1",1,NA,NA,NA,NA
"BARRE_6_PEAKER","Barre Peaker",2,NA,NA,NA,NA
"BASICE_2_UNITS","King City Cogen",4,NA,NA,NA,NA
"BEJNLS_5_BV2SCEDYN","Broadview 2",2,NA,NA,NA,NA
"BEKWJS_5_BV1SCEDYN","Broadview 1",3,NA,NA,NA,NA
"BELDEN_7_UNIT 1","BELDEN HYDRO",2,NA,NA,NA,NA
"BERCYN_2_BCEBT1","Bear Canyon Energy Storage",5,153772,4,0.215670740161223,3.82492424242424
"BGSKYN_2_ASPSR2","Antelope Solar 2 San Pablo",4,NA,NA,NA,NA
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",667,166600,434,0.581670922049279,423.871443223037
"BISHOP_1_ALAMO","BISHOP CREEK PLANT 2  AND  6",50,742900,17,0.484597601199136,16.8747786898439
"BISHOP_1_UNITS","BISHOP CREEK PLANT 3  AND  4",35,301986,8,0.00871506084454898,7.85086653219086
"BLACK_7_UNIT 1","JAMES B. BLACK 1",1,NA,NA,NA,NA
"BLACK_7_UNIT 2","JAMES B. BLACK 2",2,NA,NA,NA,NA
"BLAST_1_WIND","Mountain View IV Wind",12,106763,5,0.20103090222056,4.89427449606976
"BLM_2_UNITS","BLM EAST Facility",3,NA,NA,NA,NA
"BLVRDE_6_BLVBT1","Boulevard Energy Storage",14,284463,8,0.128368799944259,7.81327649362132
"BOGUE_1_UNITA1","Feather River Energy Center, Unit #1",1,NA,NA,NA,NA
"BORDER_6_UNITA1","CalPeak Power Border Unit 1",1,NA,NA,NA,NA
"BRDSLD_2_MTZUMA","FPL Energy Montezuma Wind",1,NA,NA,NA,NA
"BRDSLD_2_SHLO3A","Shiloh III Wind Project, LLC",1,NA,NA,NA,NA
"BRODIE_2_WIND","Coram Brodie Wind Project",3,NA,NA,NA,NA
"BUCKBL_2_PL1X3","Blythe Energy Center",2,NA,NA,NA,NA
"BUCKCK_7_PL1X2","BUCKS CREEK AGGREGATE",122,497303,77,0.822929861653285,76.9869696969697
"BUCKWD_1_QF","Buckwind Re-powering project",1,NA,NA,NA,NA
"BURNYF_2_UNIT 1","Burney Forest Power",1,NA,NA,NA,NA
"BUTTVL_7_UNIT 1","BUTT VALLEY HYDRO",1,NA,NA,NA,NA
"CABALO_2_M2BSR1","Mustang 2 Barbaro Solar",1,NA,NA,NA,NA
"CABALO_2_M2WSR2","Mustang 2 Whirlaway Solar",4,NA,NA,NA,NA
"CALFTN_2_CFSBT1","California Flats Solar Battery",4,NA,NA,NA,NA
"CALFTN_2_SOLAR","California Flats North",18,195275,4,0.000416493127863404,3.91467391304348
"CALFTS_2_CFSSR1","California Flats Solar South",36,576455,7,0.294036104513719,6.83669724770642
"CALGEN_1_UNITS","Coso Navy 1",2,NA,NA,NA,NA
"CANTUA_1_SOLAR","Cantua Solar Station",2,NA,NA,NA,NA
"CARBOU_7_PL2X3","CARIBOU PH 1 UNIT 2 & 3 AGGREGATE",17,890505,3,0.00703750120505164,2.93901666666667
"CARBOU_7_PL4X5","CARIBOU PH 2 UNIT 4 & 5 AGGREGATE",38,108072,14,0.503976579382283,13.8674678151338
"CARBOU_7_UNIT 1","CARIBOU PH 1 UNIT 1",3,160554,2,1,1.9
"CARLS1_2_CARCT1","Carlsbad 1",71,160605,4,0,3.99507995079951
"CARLS2_1_CARCT1","Carlsbad 2",2,NA,NA,NA,NA
"CASADB_1_CD4GT1","Casa Diablo 4",1,NA,NA,NA,NA
"CAVLSR_2_BSOLAR","California Valley Solar Ranch-Phase B",1,NA,NA,NA,NA
"CAVLSR_2_RSOLAR","California Valley Solar Ranch-Phase A",1,NA,NA,NA,NA
"CENTPD_2_BMSSX2","Blythe Mesa Solar",8,238485,3,0.328596994000371,2.8989898989899
"CENTRY_6_PL1X4","CENTURY GENERATING PLANT (AGGREGATE)",4,NA,NA,NA,NA
"CHARMN_2_PGONG1","PROCTER  AND  GAMBLE OXNARD I",1,NA,NA,NA,NA
