"generator","generator_name","curtailment_date","pmax_mw","curtailment_mw","expected_available_mw","RESOURCEBID_SEQ","daily_max_mw","mw_error","pct_error"
"ADLIN_1_UNITS","GEYSERS AIDLIN AGGREGATE",2023-05-23,22,13,9,316580,8.94,-0.0600000000000005,-0.00666666666666672
"ADLIN_1_UNITS","GEYSERS AIDLIN AGGREGATE",2023-05-24,22,13,9,316580,8.98,-0.0199999999999996,-0.00222222222222217
"ADLIN_1_UNITS","GEYSERS AIDLIN AGGREGATE",2023-05-25,22,13,9,316580,8.86,-0.140000000000001,-0.0155555555555556
"AKINGS_6_AMESR1","American Kings Solar",2024-09-07,123,50.5,72.5,828735,72.2,-0.299999999999997,-0.00413793103448272
"AKINGS_6_AMESR1","American Kings Solar",2024-09-08,123,50.5,72.5,828735,71.19,-1.31,-0.0180689655172414
"ALHMBR_1_ALHSLR","SG Alhambra",2024-11-01,50,37,13,158082,13,0,0
"ALHMBR_1_ALHSLR","SG Alhambra",2024-11-04,50,37,13,158082,13,0,0
"ALHMBR_1_ALHSLR","SG Alhambra",2024-11-05,50,37,13,158082,13,0,0
"ALMASL_2_AL6BT6","Almasol 6 BES",2023-04-02,50,6,44,163688,45,1,0.0227272727272727
"ALMASL_2_AL6BT6","Almasol 6 BES",2023-04-29,50,6,44,163688,45,1,0.0227272727272727
"ALMASL_2_AL6BT6","Almasol 6 BES",2023-05-06,50,6,44,163688,45,1,0.0227272727272727
"ALMASL_2_AL6BT6","Almasol 6 BES",2023-05-07,50,6,44,163688,45,1,0.0227272727272727
"ARBWD_6_QF","Wind Resource II",2023-02-01,19.95,6.96,12.99,107701,13.1,0.110000000000001,0.00846805234796006
"ARBWD_6_QF","Wind Resource II",2024-11-04,19.95,9.51,10.44,107701,10.83,0.390000000000001,0.0373563218390805
"ARCOGN_2_UNITS","WATSON COGENERATION",2023-01-13,305,100,205,219791,205,0,0
"ARCOGN_2_UNITS","WATSON COGENERATION",2023-12-19,305,95,210,219791,203,-7,-0.0333333333333333
"ARCOGN_2_UNITS","WATSON COGENERATION",2024-11-11,305,100,205,219791,204,-1,-0.0048780487804878
"ARLVAL_5_SOLAR","Arlington Valley Solar Energy II",2024-09-09,127,27,100,105465,98,-2,-0.02
"ARLVAL_5_SOLAR","Arlington Valley Solar Energy II",2024-09-10,127,27,100,105465,104,4,0.04
"ARLVAL_5_SOLAR","Arlington Valley Solar Energy II",2024-09-13,127,27,100,105465,103,3,0.03
"ARLVAL_5_SOLAR","Arlington Valley Solar Energy II",2024-09-14,127,27,100,105465,98,-2,-0.02
"AVSOLR_2_SOLAR","AV SOLAR RANCH 1",2024-03-05,241.5,35.1,206.4,492855,212.1,5.69999999999999,0.0276162790697674
"AVSOLR_2_SOLAR","AV SOLAR RANCH 1",2024-03-07,241.5,35.1,206.4,492855,205.8,-0.599999999999994,-0.00290697674418602
"AVSOLR_2_SOLAR","AV SOLAR RANCH 1",2024-03-18,241.5,35.1,206.4,492855,203.6,-2.80000000000001,-0.0135658914728683
"AVSOLR_2_SOLAR","AV SOLAR RANCH 1",2024-03-19,241.5,35.1,206.4,492855,203.4,-3,-0.0145348837209302
"AVSOLR_2_SOLAR","AV SOLAR RANCH 1",2024-03-20,241.5,35.1,206.4,492855,208.4,2,0.00968992248062015
"AVSOLR_2_SOLAR","AV SOLAR RANCH 1",2024-03-21,241.5,35.1,206.4,492855,204.2,-2.20000000000002,-0.0106589147286823
"AVSOLR_2_SOLAR","AV SOLAR RANCH 1",2024-03-25,241.5,35.1,206.4,492855,204.7,-1.70000000000002,-0.00823643410852721
"AVSOLR_2_SOLAR","AV SOLAR RANCH 1",2024-03-26,241.5,35.1,206.4,492855,204.8,-1.59999999999999,-0.0077519379844961
"AVSOLR_2_SOLAR","AV SOLAR RANCH 1",2024-03-27,241.5,35.1,206.4,492855,205.5,-0.900000000000006,-0.0043604651162791
"AVSOLR_2_SOLAR","AV SOLAR RANCH 1",2024-03-28,241.5,35.1,206.4,492855,205.8,-0.599999999999994,-0.00290697674418602
"AVSOLR_2_SOLAR","AV SOLAR RANCH 1",2024-03-29,241.5,35.1,206.4,492855,205.8,-0.599999999999994,-0.00290697674418602
"AVSOLR_2_SOLAR","AV SOLAR RANCH 1",2024-04-02,241.5,35.1,206.4,492855,211.5,5.09999999999999,0.0247093023255814
"AVSOLR_2_SOLAR","AV SOLAR RANCH 1",2024-04-09,241.5,35.1,206.4,492855,210.2,3.79999999999998,0.0184108527131782
"BERCYN_2_BCEBT1","Bear Canyon Energy Storage",2024-09-09,13,1,12,153772,11.45,-0.550000000000001,-0.0458333333333334
"BERCYN_2_BCEBT1","Bear Canyon Energy Storage",2024-09-10,13,2,11,153772,11.39,0.390000000000001,0.0354545454545455
"BERCYN_2_BCEBT1","Bear Canyon Energy Storage",2024-09-11,13,2,11,153772,11.5,0.5,0.0454545454545455
"BERCYN_2_BCEBT1","Bear Canyon Energy Storage",2024-09-12,13,1,12,153772,11.42,-0.58,-0.0483333333333333
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2023-01-01,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2023-01-02,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2023-02-10,820,45,775,166600,799.47,24.47,0.0315741935483871
