"generator","generator_name","RESOURCEBID_SEQ","n_matches","pmax_mw","max_mw","mean_pct_err","score","confidence"
"COLVIL_7_PL1X2","COLLIERVILLE HYDRO UNIT 1 & 2 AGGREGATE",201370,4,246.86,243.54,0.0292437925029354,3.88302482998826,1
"MOORPK_2_CALABS","Calabasas Gas-to-Energy Facility",211201,3,6.96,6.5,0.0222222222222222,2.93333333333333,1
"ETIWND_2_FONTNA","FONTANALYTLE CREEK POWERHOUSE P",190607,3,2.56,2.5,0.029126213592233,2.9126213592233,1
"SANBRN_2_EESSB2","Edsan 2 Edwards Sanborn E1B",111549,3,166,150,0.0326340326340326,2.9020979020979,1
"COLUSA_2_PL1X3","Colusa Generating Station",101489,2,641,635,0,2,1
"EXCHEC_7_UNIT 1","EXCHEQUER HYDRO",140162,2,94.5,94.5,0,2,1
"DIABLO_7_UNIT 2","Diablo Canyon Unit 2",195335,2,1150,1150,0.00253036437246964,1.99493927125506,1
"MSTANG_2_SOLAR4","Mustang 4",654478,2,30,30,0.00470588235294118,1.99058823529412,1
"PIT6_7_UNIT 2","PIT PH 6 UNIT 2",988619,2,40,36.56,0.0109401468097116,1.97811970638058,1
"AKINGS_6_AMESR1","American Kings Solar",828735,2,123,126.81,0.0111034482758621,1.97779310344828,1
"MSOLAR_2_SOLAR1","Mesquite Solar 1",961257,2,165,165,0.0129449838187702,1.97411003236246,1
"GLNARM_7_UNIT 1","GLEN ARM UNIT 1",190023,2,22.13,24,0.0138888888888889,1.97222222222222,1
"MSTANG_2_SOLAR","Mustang",984603,2,30,29,0.016851473592063,1.96629705281587,1
"CLINESCO_3_PVDYN","CLINES CORNERS",914978,2,129.94,139.97,0.0183888066681664,1.96322238666367,1
"GARNET_2_WIND1","Phoenix",186392,2,11.2,10.5,0.0195395305016881,1.96092093899662,1
"TRNQLT_2_SOLAR","Tranquillity",358008,2,200,189,0.0205488898083022,1.9589022203834,1
"GEYS18_7_UNIT18","GEYSERS UNIT 18 (HEALDSBURG)",798391,2,72,75,0.0208333333333333,1.95833333333333,1
"EASTWD_7_UNIT","EASTWOOD PUMP-GEN",983166,2,200,200,0.0222222222222222,1.95555555555556,1
"MSTANG_2_SOLAR3","Mustang 3",974145,2,40,42,0.023,1.954,1
"TANHIL_6_SOLART","Berry Cogen 18",379813,2,17,18.65,0.0244444444444444,1.95111111111111,1
"TEHAPI_2_PW2WD2","Point Wind 2",124050,2,14.4,15,0.025,1.95,1
"TRNSWD_1_QF","FPL Energy C Wind",134471,2,38.97,36,0.0251621748235878,1.94967565035282,1
"OXMTN_6_LNDFIL","Ox Mountain Landfill Generating Plant",153153,2,10.62,10,0.025233918128655,1.94953216374269,1
"CNTNLA_2_SOLAR1","Centinela Solar Energy I",124574,2,125,128.39,0.025658817862405,1.94868236427519,1
"SNCLRA_2_UNIT1","New Indy Oxnard",620521,2,27.8,30,0.0263636363636364,1.94727272727273,1
"MCFLND_5_MFSSR1","McFarland Solar A PV",135142,2,200,200,0.0273976608187134,1.94520467836257,1
"ESCNDO_6_UNITB1","CalPeak Power Enterprise Unit 1",917872,2,48.04,47.1,0.0274,1.9452,1
"PIT7_7_UNIT 2","PIT PH 7 UNIT 2",806870,2,54.6,55,0.0287600188590298,1.94247996228194,1
"TOWNSITE_2_MEADDYN","Townsite Solar BESS",127137,2,180,166,0.0289583333333333,1.94208333333333,1
"MONTPH_7_UNITS","MONTICELLO HYDRO AGGREGATE",184635,2,12.5,11.5,0.0294117647058824,1.94117647058824,1
"DSRTSN_2_DS2X2","Desert Sunlight PV II Storage",263628,2,230,208.96,0.0325925925925926,1.93481481481481,1
"GYS7X8_7_UNITS","GEYSERS UNITS 7 & 8 AGGREGATE",670863,2,95.8,100,0.0379106341313149,1.92417873173737,1
"INTMNT_3_ANAHEIM","Intermountain Power Project",107681,2,234,223.6,0.0405469178708615,1.91890616425828,1
"COVERD_2_MCKHY1","Montgomery Creek Hydro",133011,2,2.8,3,0.0476190476190479,1.9047619047619,1
"CARBOU_7_UNIT 1","CARIBOU PH 1 UNIT 1",160554,2,24,22,0.05,1.9,1
"BUCKCK_7_PL1X2","BUCKS CREEK AGGREGATE",497303,77,57.25,57.25,0.00016922471467926,76.9869696969697,0.822929861653285
"WARNE_2_UNIT","WARNE HYDRO AGGREGATE",159511,9,76,76,0.0087010087010087,8.92169092169092,0.778776890182579
"OCOTLO_6_OCWSB1","Ocotillo Wells Solar and BESS",729047,129,50,50,0.0303030303030303,125.090909090909,0.736434108527132
"KRAMER_1_R1PX3","Resurgence 1 PV",105576,6,90,91,0,6,0.670506944444444
"INTMNT_3_RIVERSIDE","IPPDYN",195432,5,136,136,0,5,0.603744873337461
