"RESOURCE ID","RESOURCE NAME","RESOURCE PMAX MW","RESOURCEBID_SEQ","seq_max_mw","rank","n_matches","mean_pct_err","score","confidence"
"ADLIN_1_UNITS","GEYSERS AIDLIN AGGREGATE",22,316580,20,1,3,0.00814814814814817,2.97555555555556,0.35195872089076
"ADLIN_1_UNITS","GEYSERS AIDLIN AGGREGATE",22,201934,20.63,2,2,0.0358585858585859,1.92828282828283,NA
"AKINGS_6_AMESR1","American Kings Solar",123,828735,126.81,1,2,0.0111034482758621,1.97779310344828,1
"ALHMBR_1_ALHSLR","SG Alhambra",50,158082,49,1,3,0,3,0
"ALHMBR_1_ALHSLR","SG Alhambra",50,165788,49,2,3,0,3,NA
"ALHMBR_1_ALHSLR","SG Alhambra",50,852416,48,3,3,0,3,NA
"ALHMBR_1_ALHSLR","SG Alhambra",50,915712,50,4,3,0,3,NA
"ALMASL_2_AL6BT6","Almasol 6 BES",50,163688,45,1,4,0.0227272727272727,3.90909090909091,0.00523255813953494
"ALMASL_2_AL6BT6","Almasol 6 BES",50,156192,45.3,2,4,0.027840909090909,3.88863636363636,NA
"ALMASL_2_AL6BT6","Almasol 6 BES",50,932153,45.3,3,4,0.027840909090909,3.88863636363636,NA
"ALMASL_2_AL6BT6","Almasol 6 BES",50,951689,45.3,4,4,0.027840909090909,3.88863636363636,NA
"ALMASL_2_AL6BT6","Almasol 6 BES",50,764895,46.5,5,4,0.0311363636363637,3.87545454545455,NA
"ARBWD_6_QF","Wind Resource II",19.95,107701,18,1,2,0.0229121870935203,1.95417562581296,0.00350921281564531
"ARBWD_6_QF","Wind Resource II",19.95,819306,20,2,2,0.0263409961685825,1.94731800766283,NA
"ARBWD_6_QF","Wind Resource II",19.95,374413,20,3,2,0.0268199233716475,1.9463601532567,NA
"ARBWD_6_QF","Wind Resource II",19.95,122815,20,4,2,0.0301724137931034,1.93965517241379,NA
"ARCOGN_2_UNITS","WATSON COGENERATION",305,219791,290,1,3,0.0127371273712737,2.96178861788618,0.327971147100985
"ARCOGN_2_UNITS","WATSON COGENERATION",305,242438,275,2,2,0.00479629629629625,1.99040740740741,NA
"ARCOGN_2_UNITS","WATSON COGENERATION",305,158253,275,3,2,0.0185185185185185,1.96296296296296,NA
"ARCOGN_2_UNITS","WATSON COGENERATION",305,193488,290,4,2,0.0234303135888502,1.9531393728223,NA
"ARLVAL_5_SOLAR","Arlington Valley Solar Energy II",127,105465,126.35,1,4,0.0275,3.89,0.499023136246787
"ARLVAL_5_SOLAR","Arlington Valley Solar Energy II",127,101706,126,2,2,0.0256,1.9488,NA
"ARLVAL_5_SOLAR","Arlington Valley Solar Energy II",127,118485,116.92,3,2,0.029,1.942,NA
"ARLVAL_5_SOLAR","Arlington Valley Solar Energy II",127,164178,125,4,2,0.0306,1.9388,NA
"ARLVAL_5_SOLAR","Arlington Valley Solar Energy II",127,170663,137.06,5,2,0.0353,1.9294,NA
"AVSOLR_2_SOLAR","AV SOLAR RANCH 1",241.5,492855,240,1,13,0.0114042933810376,12.8517441860465,0.306970059508545
"AVSOLR_2_SOLAR","AV SOLAR RANCH 1",241.5,968309,234,2,9,0.0103729435036426,8.90664350846722,NA
"AVSOLR_2_SOLAR","AV SOLAR RANCH 1",241.5,705107,241.5,3,5,0.0159497739946775,4.92025113002661,NA
"AVSOLR_2_SOLAR","AV SOLAR RANCH 1",241.5,289323,250,4,5,0.0234786821705426,4.88260658914729,NA
"AVSOLR_2_SOLAR","AV SOLAR RANCH 1",241.5,106181,265,5,4,0.0193070730304773,3.92277170787809,NA
"BERCYN_2_BCEBT1","Bear Canyon Energy Storage",13,153772,14,1,4,0.0437689393939394,3.82492424242424,0.215670740161223
"BERCYN_2_BCEBT1","Bear Canyon Energy Storage",13,191168,14,2,3,0,3,NA
"BERCYN_2_BCEBT1","Bear Canyon Energy Storage",13,569776,12,3,3,0,3,NA
"BERCYN_2_BCEBT1","Bear Canyon Energy Storage",13,742900,12.5,4,3,0,3,NA
"BERCYN_2_BCEBT1","Bear Canyon Energy Storage",13,164110,13,5,3,0.0181818181818181,2.94545454545455,NA
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",820,166600,799.47,1,434,0.023337688426183,423.871443223037,0.581670922049279
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",820,653256,750,2,183,0.0310505463763146,177.317750013134,NA
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",820,203842,820,3,159,0.031705502185073,153.958825152573,NA
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",820,985335,741.27,4,157,0.0358177561942413,151.376612277504,NA
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",820,201337,882,5,77,0.0214931703677757,75.3450258816813,NA
"BISHOP_1_ALAMO","BISHOP CREEK PLANT 2  AND  6",13.4,742900,12.5,1,17,0.00736595942094848,16.8747786898439,0.484597601199136
"BISHOP_1_ALAMO","BISHOP CREEK PLANT 2  AND  6",13.4,186631,13.5,2,9,0.0336331760023071,8.69730141597924,NA
"BISHOP_1_ALAMO","BISHOP CREEK PLANT 2  AND  6",13.4,666436,13.8,3,8,0.0217255222402475,7.82619582207802,NA
"BISHOP_1_ALAMO","BISHOP CREEK PLANT 2  AND  6",13.4,153772,14,4,8,0.0251317170293749,7.798946263765,NA
"BISHOP_1_ALAMO","BISHOP CREEK PLANT 2  AND  6",13.4,691663,12.19,5,8,0.0267849053822564,7.78572075694195,NA
"BISHOP_1_UNITS","BISHOP CREEK PLANT 3  AND  4",15.8,301986,16.44,1,8,0.0186416834761419,7.85086653219086,0.00871506084454898
"BISHOP_1_UNITS","BISHOP CREEK PLANT 3  AND  4",15.8,131964,14.4,2,8,0.0271942809149514,7.78244575268039,NA
"BISHOP_1_UNITS","BISHOP CREEK PLANT 3  AND  4",15.8,928755,15,3,8,0.0304417680278227,7.75646585577742,NA
"BISHOP_1_UNITS","BISHOP CREEK PLANT 3  AND  4",15.8,153266,15,4,7,0.0185764511340235,6.86996484206184,NA
"BISHOP_1_UNITS","BISHOP CREEK PLANT 3  AND  4",15.8,159739,15,5,7,0.0221734795758269,6.84478564296921,NA
"BLAST_1_WIND","Mountain View IV Wind",49,106763,52.73,1,5,0.0211451007860484,4.89427449606976,0.20103090222056
"BLAST_1_WIND","Mountain View IV Wind",49,997249,50.5,2,4,0.0224064803975561,3.91037407840978,NA
"BLAST_1_WIND","Mountain View IV Wind",49,201838,50,3,4,0.0281820893390722,3.88727164264371,NA
"BLAST_1_WIND","Mountain View IV Wind",49,340172,45,4,3,0.00867283283465494,2.97398150149604,NA
"BLAST_1_WIND","Mountain View IV Wind",49,179047,50,5,3,0.0123316188062364,2.96300514358129,NA
"BLVRDE_6_BLVBT1","Boulevard Energy Storage",10,284463,10,1,8,0.0233404382973348,7.81327649362132,0.128368799944259
"BLVRDE_6_BLVBT1","Boulevard Energy Storage",10,916013,10,2,7,0.027100633356791,6.81029556650246,NA
"BLVRDE_6_BLVBT1","Boulevard Energy Storage",10,182278,10,3,6,0.0128205128205128,5.92307692307692,NA
"BLVRDE_6_BLVBT1","Boulevard Energy Storage",10,222736,10,4,6,0.0128205128205128,5.92307692307692,NA
"BLVRDE_6_BLVBT1","Boulevard Energy Storage",10,376549,10,5,6,0.0191025641025641,5.88538461538462,NA
"BUCKCK_7_PL1X2","BUCKS CREEK AGGREGATE",57.25,497303,57.25,1,77,0.00016922471467926,76.9869696969697,0.822929861653285
"BUCKCK_7_PL1X2","BUCKS CREEK AGGREGATE",57.25,624752,54,2,14,0.0262790446330846,13.6320933751368,NA
"BUCKCK_7_PL1X2","BUCKS CREEK AGGREGATE",57.25,178559,60,3,13,0.0198863937458354,12.7414768813041,NA
"BUCKCK_7_PL1X2","BUCKS CREEK AGGREGATE",57.25,736984,54,4,13,0.0281604574801697,12.6339140527578,NA
