RESOURCE ID,RESOURCE NAME,total_outage_events,RESOURCEBID_SEQ,n_matches,confidence,score
7STDRD_1_SOLAR1,7STDRD_1_SOLAR1,1,,,,
ACACIA_6_SOLAR,ACACIA_6_SOLAR,2,,,,
ADERA_1_SOLAR1,ADERA_1_SOLAR1,3,,,,
ADLIN_1_UNITS,ADLIN_1_UNITS,1,374980.0,1.0,1.0,0.954545454545455
ADMEST_6_SOLAR,ADMEST_6_SOLAR,5,,,,
ADOBEE_1_SOLAR,ADOBEE_1_SOLAR,2,,,,
AGRICO_6_PL3N5,AGRICO_6_PL3N5,1,201934.0,1.0,0.0097267253358034,0.95152049360952
AGRICO_7_UNIT,AGRICO_7_UNIT,2,,,,
AGUCAL_5_SOLAR1,AGUCAL_5_SOLAR1,1,,,,
AKINGS_6_AMESR1,AKINGS_6_AMESR1,3,203679.0,3.0,0.137931034482759,2.82926829268293
ALAMIT_2_AESBT2,ALAMIT_2_AESBT2,2,,,,
ALAMIT_2_PL1X3,ALAMIT_2_PL1X3,3,,,,
ALAMIT_7_ES1,ALAMIT_7_ES1,9,,,,
ALAMIT_7_UNIT 3,ALAMIT_7_UNIT 3,3,,,,
ALAMIT_7_UNIT 4,ALAMIT_7_UNIT 4,1,,,,
ALAMIT_7_UNIT 5,ALAMIT_7_UNIT 5,2,242617.0,2.0,0.5,2.0
ALAMO_6_UNIT,ALAMO_6_UNIT,2,164152.0,2.0,0.433333333333333,1.76470588235294
ALHMBR_1_ALHSLR,ALHMBR_1_ALHSLR,3,,,,
ALMASL_2_AL6BT6,ALMASL_2_AL6BT6,1,126265.0,1.0,0.473684210526316,0.76
ALMASL_2_GS1SR1,ALMASL_2_GS1SR1,1,,,,
ALMASL_2_GS4SR4,ALMASL_2_GS4SR4,2,,,,
ALMASL_2_GS6SR6,ALMASL_2_GS6SR6,1,,,,
ALMASL_2_GS7SR7,ALMASL_2_GS7SR7,1,634503.0,1.0,0.305555555555556,0.818181818181818
ALMEGT_1_UNIT 1,ALMEGT_1_UNIT 1,5,,,,
ALMEGT_1_UNIT 2,ALMEGT_1_UNIT 2,4,,,,
ALPSLR_1_NTHSLR,ALPSLR_1_NTHSLR,1,133003.0,1.0,0.2,0.25
ALPSLR_1_SPSSLR,ALPSLR_1_SPSSLR,1,,,,
ALT6DN_2_WIND7,ALT6DN_2_WIND7,1,,,,
ALT6DS_2_WIND9,ALT6DS_2_WIND9,1,,,,
ALTA3A_2_CPCE4,ALTA3A_2_CPCE4,1,,,,
ALTA3A_2_CPCE8,ALTA3A_2_CPCE8,1,711517.0,1.0,0.616666666666667,0.8
ALTA4A_2_CPCW1,ALTA4A_2_CPCW1,2,209289.0,1.0,0.0,1.0
ALTA4B_2_CPCW2,ALTA4B_2_CPCW2,1,561276.0,1.0,0.214285714285714,0.933333333333333
ALTA4B_2_CPCW3,ALTA4B_2_CPCW3,2,,,,
ALTA4B_2_CPCW6,ALTA4B_2_CPCW6,1,,,,
ALTA6E_2_WIND10,ALTA6E_2_WIND10,1,,,,
ALTWD_2_COAWD1,ALTWD_2_COAWD1,1,419525.0,1.0,0.951923076923077,0.412698412698413
ANAHM_2_CANYN1,ANAHM_2_CANYN1,3,529201.0,3.0,0.807491702228544,3.0
ANAHM_2_CANYN2,ANAHM_2_CANYN2,7,990961.0,7.0,0.858510764838825,7.0
ANAHM_2_CANYN3,ANAHM_2_CANYN3,5,698118.0,5.0,0.815013981501398,5.0
ANAHM_2_CANYN4,ANAHM_2_CANYN4,5,155479.0,5.0,0.74144578313253,5.0
ANZA_6_SOLAR1,ANZA_6_SOLAR1,3,134647.0,1.0,0.872,0.75
APLHIL_1_SFKHY1,APLHIL_1_SFKHY1,1,,,,
AQUAWS_2_AQWSR1,AQUAWS_2_AQWSR1,6,,,,
ARBWD_6_QF,ARBWD_6_QF,1,,,,
ARCOGN_2_UNITS,ARCOGN_2_UNITS,1,443551.0,1.0,0.4,0.983606557377049
ARKANS_1_ARKSLR,ARKANS_1_ARKSLR,4,,,,
ARLNTN_2_AR1SR1,ARLNTN_2_AR1SR1,1,,,,
ARLNTN_2_ASUSR1,ARLNTN_2_ASUSR1,1,,,,
ARLVAL_5_SOLAR,ARLVAL_5_SOLAR,4,,,,
ARVINN_6_ORION1,ARVINN_6_ORION1,2,799732.0,2.0,0.0833333333333334,2.0
ARVINN_6_ORION2,ARVINN_6_ORION2,2,376549.0,2.0,0.166666666666667,1.5
ASTORA_2_SOLAR1,ASTORA_2_SOLAR1,11,,,,
ASTORA_2_SOLAR2,ASTORA_2_SOLAR2,18,,,,
ATHOS_5_AP1X2,ATHOS_5_AP1X2,5,,,,
ATHOS_5_AP2X2,ATHOS_5_AP2X2,7,,,,
ATWEL2_1_SOLAR1,ATWEL2_1_SOLAR1,1,415983.0,1.0,0.479166666666667,0.48
ATWELL_1_SOLAR,ATWELL_1_SOLAR,5,,,,
AVENAL_6_AVPARK,AVENAL_6_AVPARK,2,,,,
AVENAL_6_AVSLR1,AVENAL_6_AVSLR1,2,,,,
AVENAL_6_AVSLR2,AVENAL_6_AVSLR2,2,,,,
AVENAL_6_SANDDG,AVENAL_6_SANDDG,2,,,,
AVENAL_6_SUNCTY,AVENAL_6_SUNCTY,2,,,,
AVSOLR_2_SOLAR,AVSOLR_2_SOLAR,2,,,,
BALCHS_7_UNIT 1,BALCHS_7_UNIT 1,6,159511.0,6.0,0.456140350877193,3.67741935483871
BALCHS_7_UNIT 2,BALCHS_7_UNIT 2,4,,,,
BALCHS_7_UNIT 3,BALCHS_7_UNIT 3,3,,,,
BANKPP_2_NSPIN,BANKPP_2_NSPIN,2,107219.0,1.0,0.997647058823529,0.314814814814815
BARRE_2_ALASB1,BARRE_2_ALASB1,1,,,,
BARRE_6_PEAKER,BARRE_6_PEAKER,3,134075.0,2.0,0.107142857142857,1.71428571428571
BASICE_2_UNITS,BASICE_2_UNITS,2,455119.0,2.0,0.0756302521008404,1.98333333333333
BDGRCK_1_UNITS,BDGRCK_1_UNITS,3,288617.0,3.0,0.571428571428571,2.62063227953411
BEARDS_7_UNIT 1,BEARDS_7_UNIT 1,6,184635.0,6.0,0.840579710144927,6.0
BEARMT_1_UNIT,BEARMT_1_UNIT,1,118390.0,1.0,0.142857142857143,0.995732574679943
BEJNLS_5_BV2SCEDYN,BEJNLS_5_BV2SCEDYN,1,255016.0,1.0,0.228070175438597,0.682634730538922
BEKWJS_5_BV1SCEDYN,BEKWJS_5_BV1SCEDYN,1,190770.0,1.0,0.0,0.769230769230769
BELDEN_7_UNIT 1,BELDEN_7_UNIT 1,3,479608.0,3.0,0.102272727272727,2.21848739495798
BERCYN_2_BCEBT1,BERCYN_2_BCEBT1,1,,,,
BGSKYN_2_AS2SR1,BGSKYN_2_AS2SR1,9,,,,
BGSKYN_2_ASPSR2,BGSKYN_2_ASPSR2,1,,,,
BGSKYN_2_ASSR1B,BGSKYN_2_ASSR1B,10,603185.0,10.0,0.294117647058824,10.0
BGSKYN_2_ASSR3A,BGSKYN_2_ASSR3A,8,,,,
BGSKYN_2_ASSR3B,BGSKYN_2_ASSR3B,3,766252.0,3.0,0.333333333333333,3.0
BGSKYN_2_BS3SR3,BGSKYN_2_BS3SR3,6,,,,
