"generator","generator_name","RESOURCEBID_SEQ","n_matches","pmax_mw","max_mw","mean_pct_err","mean_stop_offset","mean_restart_offset","mean_abs_stop_offset","mean_abs_restart_offset","score","confidence"
"CSCCOG_1_UNIT 1","SANTA CLARA CO-GEN",164427,2,7,7,0,0,3961,0,3961,2,1
"SEARLS_1_TS3SR1","Trona Solar III",714921,2,2,2,0,0,101.5,0,101.5,2,1
"VOLTA_2_UNIT 2","Volta Hydro Unit 2",197004,1,1,1,0,0,253,0,253,1,1
"KERNEY_6_FCSSR1","Fresno Community Solar",401817,1,10,10,0,0,46,0,46,1,1
"CEDUCR_2_SOLAR1","Ducor Solar 1",933839,1,20,20,0,0,7680,0,7680,1,1
"INDVLY_1_UNITS","Indian Valley Hydro",581105,1,3.01,3,0.00332225913621255,1,312,1,312,0.996677740863787,1
"SBERDO_6_MILLCK","MILL CREEK PSP",368224,1,3.93,4,0.0178117048346056,0,73921,0,73921,0.982188295165394,1
"ADLIN_1_UNITS","GEYSERS AIDLIN AGGREGATE",374980,1,22,23,0.0454545454545455,0,8760,0,8760,0.954545454545455,1
"CRNEVL_6_CRNVA","Crane Valley",313257,1,0.9,1,0.111111111111111,0,690,0,690,0.888888888888889,1
"MIRLOM_7_MWDLKM","Lake Mathews Hydroelectric Recovery Plan",587533,1,5,5.75,0.15,0,22380,0,22380,0.85,1
"COLEMN_2_UNIT","Coleman",152702,1,13,10,0.230769230769231,0,0,0,0,0.769230769230769,1
"RTREE_2_WIND3","Rising Tree 3",599767,1,99,68,0.313131313131313,0,149,0,149,0.686868686868687,1
"OASIS_6_MA4SR1","Ma 4035",201736,1,1.5,1,0.333333333333333,0,1260,0,1260,0.666666666666667,1
"TX-ELK_6_SOLAR1","Castor",978009,1,1.5,2,0.333333333333333,0,420,0,420,0.666666666666667,1
"CHINO_6_CIMGEN","Chino Co-Generation",194982,1,26,35,0.346153846153846,0,851,0,851,0.653846153846154,1
"VOYAGR_2_VOYWD1","Voyager 1",178982,1,128.91,83,0.356139942595609,0,240,0,240,0.643860057404391,1
"MIRLOM_2_LNDFL","Milliken Landfill Solar",430455,1,3,1.91,0.363333333333333,0,60,0,60,0.636666666666667,1
"RICHMN_7_BAYENV","BAY ENVIRONMENTAL (NOVE POWER)",800488,1,2.5,3.43,0.372,0,NA,0,NA,0.628,1
"DELSUR_6_SOLAR1","Summer Solar North",735117,1,6.5,9,0.384615384615385,-4,2292,4,2292,0.615384615384615,1
"PEARBL_2_NSPIN","PEARBL_2_NSPIN",603374,1,118,72,0.389830508474576,0,6990,0,6990,0.610169491525424,1
"VENWD_1_WIND3","Painted Hills",171401,1,44.53,25,0.438580732090725,1,14171,1,14171,0.561419267909275,1
"GUERNS_6_SOLAR","Guernsey Solar Station",197335,1,20,11.07,0.4465,0,4680,0,4680,0.5535,1
"JAVASR_1_JAVSR1","Java Solar",331315,1,13.5,20,0.481481481481481,0,490,0,490,0.518518518518519,1
"GEYS20_7_UNIT20","GEYSERS UNIT 20 (HEALDSBURG)",133703,1,50,75,0.5,0,NA,0,NA,0.5,1
"LVNGST_1_WTASR1","West Tambo Clean Power II",661056,1,2,1,0.5,0,601,0,601,0.5,1
"PLSNTG_7_LNCLND","Lincoln Landfill Power Plant",905952,1,4.98,2,0.598393574297189,0,60,0,60,0.401606425702811,1
"TANHIL_6_SOLART","Berry Cogen 18",134471,1,17,27.2,0.6,0,135,0,135,0.4,1
"VOLTA_7_PONHY1","Ponderosa Bailey Hydroelectric",270946,1,1.25,2,0.6,-1,176858,1,176858,0.4,1
"HERDLN_6_BYHSR1","Byron Highway Solar",945442,1,5,2,0.6,0,203,0,203,0.4,1
"COVERD_2_MCKHY1","Montgomery Creek Hydro",705820,1,2.8,1,0.642857142857143,0,NA,0,NA,0.357142857142857,1
"PALSEL_6_PLSBT1","Paulsell Solar Energy Center BESS",557145,1,15,25,0.666666666666667,0,1052,0,1052,0.333333333333333,1
"DTCHWD_2_BT4WND","Brookfield Tehachapi 4",136437,1,6.52,2.09,0.679447852760736,0,0,0,0,0.320552147239264,1
"CRNEVL_6_SJQN 2","SAN JOAQUIN 2",881550,1,3.2,1,0.6875,-1,4460,1,4460,0.3125,1
"LNCSTR_6_SOLAR2","SEPV Sierra NGR",125901,1,8.25,14,0.696969696969697,0,180,0,180,0.303030303030303,1
"GYS7X8_7_UNITS","GEYSERS UNITS 7 & 8 AGGREGATE",334338,1,95.8,25,0.739039665970772,0,6056,0,6056,0.260960334029228,1
"MURRAY_6_UNIT","Grossmont Hospital",611820,1,4.12,1,0.757281553398058,0,119947,0,119947,0.242718446601942,1
"HATCR2_7_UNIT","Hat Creek  #2",103214,1,8.5,15,0.764705882352941,0,263104,0,263104,0.235294117647059,1
"USWND2_1_WIND2","Golden Hills B",132195,1,42.96,77,0.792364990689013,-1,60,1,60,0.207635009310987,1
"GIFFEN_6_SOLAR1","Aspiration Solar G",903445,1,9,16.76,0.862222222222222,0,98,0,98,0.137777777777778,1
"VALTNE_2_TSBBT1","Tropico Solar Big Beau B",510425,1,18,2,0.888888888888889,0,NA,0,NA,0.111111111111111,1
"GRNVLY_7_SCLAND","SANTA CRUZ LANDFILL GENERATING PLANT",311481,1,3.04,0.25,0.917763157894737,0,NA,0,NA,0.0822368421052632,1
"SPOINT_2_PARKERDYN","Southpoint Energy Center",296394,1,200,12.39,0.93805,0,NA,0,NA,0.0619499999999999,1
"VOYAGR_2_VOYWD3","Voyager Wind 3",999824,1,42.45,84,0.978798586572438,0,273,0,273,0.021201413427562,1
"LODI25_6_ERKNG1","LODI STRATEGIC RESERVE",712630,1,47.97,1,0.979153637690223,0,8580,0,8580,0.020846362309777,1
"ELNIDP_6_BIOMAS","El Nido Biomass to Energy",764077,1,10.5,25,1.38095238095238,0,85630,0,85630,-0.380952380952381,1
"DEADCK_1_UNIT","DEADCK_1_UNIT",193888,1,1.96,5.75,1.93367346938776,0,NA,0,NA,-0.933673469387755,1
"MALAGA_1_AUCTG1","Acid Unit 1",133364,1,55.3,205,2.70705244122966,0,5761,0,5761,-1.70705244122966,1
"SCEC_1_RDRR38","SDP-C-4-LSCE",108268,1,55.83,211,2.77933010926025,0,35580,0,35580,-1.77933010926025,1
"SANTFG_7_UNITS","GEYSERS CALISTOGA AGGREGATE",660372,1,72,350,3.86111111111111,-4,12,4,12,-2.86111111111111,1
"RTREE_2_WIND1","Rising Tree 1",157710,1,79.2,430,4.42929292929293,0,1920,0,1920,-3.42929292929293,1
"GARNET_2_HYDRO","Whitewater Hydro",292514,1,1,9,8,0,2610,0,2610,-7,1
"GARNET_2_COAWD2","Coachella 2",627078,1,10.8,120,10.1111111111111,0,900,0,900,-9.11111111111111,1
"MCFLND_5_MFAUXL1","McFarland Solar",298329,1,6,84,13,0,3330,0,3330,-12,1
"OASIS_6_VINSR1","Vinam",384409,1,1.5,25,15.6666666666667,0,205441,0,205441,-14.6666666666667,1
"NAROW1_2_UNIT","NARROWS PH 1 UNIT",338486,1,12,217,17.0833333333333,0,409499,0,409499,-16.0833333333333,1
"SCEC_1_PDRP17","CBP-DO-C-LSCE",175361,1,6.22,120,18.2926045016077,0,31741,0,31741,-17.2926045016077,1
"COWCRK_2_UNIT","Cow Creek Hydro",521760,1,2,50,24,1,31740,1,31740,-23,1
"PUTHCR_1_SOLAR1","Putah Creek Solar Farm",294276,1,1.98,50,24.2525252525253,0,5100,0,5100,-23.2525252525253,1
"FTSWRD_7_QFUNTS","FTSWRD_7_QFUNTS",798542,1,1.6,48.6,29.375,0,9797,0,9797,-28.375,1
"PGZP_2_PDRP05","CBP PGZP_2_PDRP05",162883,1,0.8,25,30.25,0,NA,0,NA,-29.25,1
"VICTOR_1_SOLAR3","Adelanto Solar 2",777449,1,7,408,57.2857142857143,3,96,3,96,-56.2857142857143,1
"DEVERS_2_DHSPG2","Desert Hot Springs 2",423784,1,1.4,100,70.4285714285714,-2,1650,2,1650,-69.4285714285714,1
"SHUTLE_6_RUISR1","Rutan 1",149369,1,1.5,175,115.666666666667,0,1740,0,1740,-114.666666666667,1
"DOSPAL_1_DPSSR1","Dos Palos Clean Power",622149,1,3,375,124,0,2926,0,2926,-123,1
"VICTOR_1_LMISR2","Landpro Mitchell",652315,1,1.5,225,149,0,34380,0,34380,-148,1
"TVYVLY_6_KRSHY1","Kings River Syphon",177834,1,1.3,486,372.846153846154,0,3285,0,3285,-371.846153846154,1
"PGSB_1_PDRP20","CBP PGSB_1_PDRP20",545257,1,0.11,56,508.090909090909,0,9481,0,9481,-507.090909090909,1
"BANKPP_2_NSPIN","BANKPP_2_NSPIN",107219,1,270,85,0.685185185185185,0,66720,0,66720,0.314814814814815,0.997647058823529
"USWND2_1_WIND3","Golden Hills C",167179,1,46,62,0.347826086956522,0,330,0,330,0.652173913043478,0.966666666666667
"ALTWD_2_COAWD1","Coachella 1",419525,1,50.4,80,0.587301587301587,0,10000,0,10000,0.412698412698413,0.951923076923077
"DSABLA_7_UNIT","De Sabla Hydro",174396,1,18.5,7.42,0.598918918918919,0,1969,0,1969,0.401081081081081,0.948787061994609
"DEVERS_1_SOLAR","Cascade Solar",254645,1,18.5,18,0.027027027027027,0,690,0,690,0.972972972972973,0.944444444444444
"BLYTHE_1_SOLAR1","Blythe Solar 1 Project",177935,1,21,25,0.19047619047619,0,4415,0,4415,0.80952380952381,0.941176470588235
"RCKCRK_7_UNIT 2","ROCK CREEK HYDRO UNIT 2",212542,37,56.9,42.8,0.24780316344464,0,46.5405405405405,0,46.5405405405405,27.8312829525483,0.934579439252336
"SPICER_1_UNITS","SPICER HYDRO UNITS 1-3 AGGREGATE",181860,10,6,6,0,0,470.5,0,470.5,10,0.933333333333333
"LASSEN_6_UNITS","Honey Lake Power",851690,11,30,30,0,-0.181818181818182,1325.36363636364,0.181818181818182,1325.36363636364,11,0.909090909090909
"SIGHEB_6_MIRDYN","Heber South",222735,1,17,10.4,0.388235294117647,0,360,0,360,0.611764705882353,0.907692307692308
"HYTTHM_2_UNITS","HYATT-THERMALITO PUMP-GEN (AGGREGATE)",201337,9,933.1,847,0.0922730682670668,0,263.888888888889,0,263.888888888889,8.1695423855964,0.886370195461105
"GEYS12_7_UNIT12","GEYSERS UNIT 12 (HEALDSBURG)",151431,1,57,16,0.719298245614035,5,24352,5,24352,0.280701754385965,0.875
"ANZA_6_SOLAR1","Seville Solar One",134647,1,20,25,0.25,0,4950,0,4950,0.75,0.872
"ELKCRK_6_STONYG","STONEY GORGE HYDRO AGGREGATE",127784,6,4.9,4.9,0,0,12545,0,12545,6,0.863945578231293
"ANAHM_2_CANYN2","CANYON POWER PLANT UNIT 2",990961,7,48.04,48.04,0,0,60.5714285714286,0,60.5714285714286,7,0.858510764838825
"USWPFK_6_FRICK","Frick Summit Wind Repower",166958,7,10,10,0,0,49.2857142857143,0,49.2857142857143,7,0.857142857142857
"BISHOP_1_ALAMO","BISHOP CREEK PLANT 2  AND  6",865499,1,13.4,15,0.119402985074627,3,4200,3,4200,0.880597014925373,0.847457627118644
"RIOBRV_6_UNIT 1","RIO BRAVO HYDRO",589439,1,14,13,0.0714285714285714,0,60,0,60,0.928571428571429,0.846153846153846
"BEARDS_7_UNIT 1","Beardsley Hydro",184635,6,11.5,11.5,0,0,102,0,102,6,0.840579710144927
"BLCKBT_2_STONEY","BLACK BUTTE HYDRO",233734,5,6.2,6.2,0,0,450.2,0,450.2,5,0.838709677419355
"BUTTVL_7_UNIT 1","BUTT VALLEY HYDRO",153037,6,39.5,39.5,0,0,619.833333333333,0,619.833333333333,6,0.835443037974684
"GRIFFI_2_LSPDYN","Griffith Energy",279317,2,570,505,0.114035087719298,0,211,0,211,1.7719298245614,0.825742574257426
"ANAHM_2_CANYN3","CANYON POWER PLANT UNIT 3",698118,5,46.49,46.49,0,0,138.25,0,138.25,5,0.815013981501398
"PARDEB_6_UNITS","Pardee Power House",183275,31,30,29.1,0.03,0,98.741935483871,0,98.741935483871,30.07,0.812659350404611
"ANAHM_2_CANYN1","CANYON POWER PLANT UNIT 1",529201,3,49.21,49.21,0,0,39.3333333333333,0,39.3333333333333,3,0.807491702228544
"DUTCH1_7_UNIT 1","DUTCH FLAT 1 PH",844001,300,22,18.8,0.145454545454545,0.00333333333333333,102.083333333333,0.00333333333333333,102.116666666667,256.363636363636,0.800425531914894
"KYCORA_6_KMSBT1","Kearny Mesa Storage",134131,10,1,1,0,0,19.2,0,19.2,10,0.8
"MALCHQ_7_UNIT 1","MALACHA HYDRO L.P.",279536,1,32.5,50,0.538461538461538,0,22920,0,22920,0.461538461538462,0.8
"FORBST_7_UNIT 1","FORBESTOWN HYDRO",133829,6,37.5,37.5,0,0,201.833333333333,0,201.833333333333,6,0.8
"VIKING_2_VCBBT1","VIKINGS CO-LOCATED BESS",145233,1,150,125,0.166666666666667,0,480,0,480,0.833333333333333,0.792
"SLYCRK_1_UNIT 1","SLY CREEK HYDRO",434763,5,13,10.57,0.186923076923077,0,344.6,0,344.6,4.06538461538462,0.791863765373699
"PALA_6_PGCBT1","Pala Gomez Creek BESS",101363,1,10,11,0.1,0,180,0,180,0.9,0.787777777777778
"TERMEX_2_PL1X3","TDM",509317,4,625,625,0,0,1500.75,0,1500.75,4,0.78
"RICHMN_1_SOLAR","Chevron 2",175717,2,2,1.63,0.185,2,487.5,2,487.5,1.63,0.776073619631902
